author,hit_name,institute,research_area
Mykola Makhortykh,Mykola Makhortykh,"Postdoctoral researcher, Department of Communication and Media Studies, University of Bern","framing,digital media,digital memory,propaganda,news"
Ernesto de León,Ernesto de León,"PhD Candidate, University of Bern","political communication,computational social science,media effects,social media"
Aleksandra Urman,Aleksandra Urman,"Postdoctoral Researcher, University of Zurich","computational social science,political communication,algorithm auditing,social media"
Clara Christner,,,
Maryna Sydorova,Marina Sidorova,Financial University under the Government of Russian Federation,"economics,accounting,information technology"
Silke Adam,Silke Adam,"Professor of Communication, University of Bern","political communication,online communication,networks,media impact,europeanization"
Michaela Maier,Michaela A. Meier,"Educational Neuroscience, University of Graz, Austria",
Teresa Gil-Lopez,Teresa Gil Lopez,"Postdoctoral Researcher, Universidad Carlos III de Madrid","media effects,social protest,public opinion,media portrayals,social media"
Xuke Hu,Jun Hu,Meta Reality Labs,"computational photography,computer vision,machine learning,image processing"
Zhiyong Zhou,Zhiyong Zhou,"Researcher, Zhejiang University City College","nonstationary time series,nonparametric and semiparametric regression,compressive sensing"
Hao Li,Hao Li,State Key Laboratory of High Performance Computing,high performance computing
Yingjie Hu,Yingjie Hu,"Assistant Professor of Geographic Information Science, University at Buffalo","giscience,geoai,community resilience,health geography,sustainable development"
Fuqiang Gu,Fuqiang Gu,"College of Computer Science, Chongqing University","indoor positioning,deep learning,robots,slam,brain-like computing"
Jens Kersten,Jens Kersten,Deutsches Zentrum für Luft- und Raumfahrt,"image analysis,machine learning,social media,crisis informatics,(uas) photogrammetry"
Hongchao Fan,Prof. Dr. Hongchao Fan,Norwegian University of Science and Technology,"3d reconstruction,laser scanning,spatial data mining,vgi"
Friederike Klan,Friederike Klan,"Group Leader, Institute of Data Science, German Aerospace Center (DLR)",
Nguyen Ha Thanh,Lan Nguyen Thi,"Tiến sỹ, Trường Đại học Bách Khoa Hà Nội","khoa học vật liệu,vật liệu nano carbon,vật liệu nano từ,vật lý,y sinh học"
Chao Yang,chao yang,uum,
Ru He,Ru He,"Machine Learning Scientist, Amazon","machine learning,software engineering"
Fangquan Lin,Fangquan Lin,"Senior Expert & Staff Engineer, Alibaba Group","deep learning,information retrieval,recommender system,representation learning"
Suoyuan Song,,,
Jingqiao Zhang,Jingqiao Zhang,Researcher,"artificial intelligence,machine learning,deep learning"
Cheng Yang,Cheng-Yang Fu,Research Scientist in Facebook,"computer vision,machine learning,deep learning"
Przemyslaw Joniak,,,
Akiko Aizawa,Aizawa Akiko,National Institute of Informatics,
Jumon Nozaki,Jumon Nozaki,Kyoto Univeersity,automatic speech recognition
Tatsuya Kawahara,Tatsuya Kawahara,"Professor, School of Informatics, Kyoto University","speech processing,speech recognition,natural language processing,dialogue"
Kenkichi Ishizuka,Kenkichi Ishizuka,RevComm Inc.,"information retrieval,affective engineering"
Taiichi Hashimoto,,,
Bo-Kai Ruan,,,
Hong-Han Shuai,Hong-Han Shuai,National Yang Ming Chiao Tung University,"machine learning,multimedia analysis,social network analysis"
Wen-Huang Cheng,Wen-Huang Cheng,"Institute of Electronics, National Chiao Tung University","multimedia content analysis,computer vision,mobile multimedia computing,human computer interaction"
Simon M. Thomas,Marc Simon Thomas,"Assistant Professor, School of Law, Utrecht University","sociology of law,anthropology of law,adr,mediation,legal pluralism"
James G. Lefevre,,,
Glenn Baxter,Glenn Baxter,Suan Dusit University,"air freight,sustainable airports and airlines."
Nicholas A. Hamilton,Nicholas A Hamilton,"The Institute for Molecular Bioscience, The University of Queensland","mathematics,biology,bioinformatics,computer science"
Deniz Zeyrek,Deniz Zeyrek,"Professor, Middle East Technical University","turkish,discourse,corpus development,linguistic annotation,language acquisition"
Mustafa Erolcan Er,Mustafa Erolcan Er,Middle East Technical University,computational linguistics
Aurko Roy,Aurko Roy,Google,"machine learning,combinatorial optimization,natural language processing"
Rohan Anil,Rohan Anil,"Principal Engineer, Google Brain","machine learning,neural networks,large scale training,optimization algorithms"
Guangda Lai,Guangda Lai,Unknown affiliation,"distributed computing,operating systems,system architecture,maths,physics"
Benjamin Lee,Benjamin R Lee,Tulane University School of Medicine,minimally invasive surgical urology
Jeffrey Zhao,Jeffrey Zhao,Unknown affiliation,
Shuyuan Zhang,Shuyuan Zhang,"Google, Princeton University","deep learning,network,verification,sdn"
